ID,target
000137c73,2043447.8022748071
00021489f,1719654.4099506522
0004d7953,3094868.542266534
00056a333,5827093.035164734
00056d8eb,1860646.5690483407
0005fc190,1676025.3635924135
000787e86,2331374.845012283
0008510a0,1908747.8837534718
000895faf,1715866.936206191
000986fba,2285594.6680526445
0009efcc5,1949438.9414528867
000dd8f00,1763640.3815483407
000e1cdc2,1503475.8019270059
00103739c,1687255.1404450098
00134b367,1777319.1730607245
001788d0d,695576.5182451613
0019c8ad7,2877799.9162283046
001a267b9,1145644.1873963033
001a85486,1613272.3842116087
001c4de06,3897959.0993187744
001f9014b,1843771.6834975178
00216fb94,1925991.4040244268
00235690e,1794252.177125378
00240739d,2041867.2268362585
0024c3747,1684221.4134177766
00297052d,2181314.5710596717
002ab8f85,1833962.4221784635
002bed5c0,1797385.1733224462
002bf3974,8955307.740210177
002d23a26,1725526.8528240346
002f27de9,1608187.034398172
0030d8bb4,2387747.599681719
003146acd,1485480.802812119
003223263,1878932.22230984
00335575e,2129929.9027485913
00337cf9d,4010638.01846043
003394397,1849855.3896212415
0036358a3,1967465.7223826945
003770d30,1223727.228035778
003bed5ea,1760449.7543373853
003ea6427,3432427.05194793
003ef8132,1795176.862012988
003fd1723,1977712.170037636
0041861b4,1052832.7353981254
0042b718b,1502190.6669579758
004381d8f,4269120.946127721
0043ca764,1678992.297075483
004486837,2630700.48792057
0045c123e,2336217.136993182
0048915c6,2033079.8012849085
004ab9a09,2377625.5274627535
004b2e1c9,3542912.171217042
004c54732,1136088.4399130205
004cdefce,1817819.236623146
004dd971b,4879291.293725221
004f9329b,1853626.626663047
004fd2bca,1642881.8807371424
0054bfedb,1161681.5702194697
0054ec58a,397299.9653503584
00551f45d,9728550.356592676
005777b4c,1106926.85296515
00578d6ea,2146413.769805153
005802488,1235702.142147718
0059833b6,437523.4886739674
005a70085,2438158.0752103515
005b148a0,1860646.5690483407
005c28df4,2567425.9393813536
005f8dc26,1829283.8815411013
00603c202,5563124.870251399
006049609,1717597.6947147464
00612f47e,1849616.673530792
00647a57f,1797508.4440483407
0065853ee,1860646.5690483407
006589d5e,1399513.0220586725
006598823,4174251.603775163
0065c093c,2385866.4543034993
006738351,1041877.5429990094
006a0c6a8,3009050.4604165014
006e9efe6,2550250.4017691202
006f029d3,1839748.2565483407
0070f35a2,1626855.10988926
007135f85,1860646.5690483407
007285433,5063244.078879856
00735e101,1828423.7156730928
0074ecf4e,1764257.224917025
007635fa9,1792200.3931812858
007723613,1962813.9551032933
007867da9,1859402.2565483407
0078bfbd6,900217.5549795392
0078ce229,1796183.9440483407
007a89d50,1684965.85218594
007d43dfa,1643990.0207727435
007ee9e05,1634156.2707534903
007ffeae2,1774990.2035444144
00835c85c,2064270.316955936
0084b08f1,1814260.223503155
0087fb290,1903579.4875081938
0088a96bd,2223119.5160767753
008ac4292,3820806.733653902
008d8cca8,1785909.4755387586
008e07b8c,1756976.0098459502
008e5e25a,4329653.345903225
0094edcdb,3855352.575717803
00950141c,1937490.7453773944
009566ef1,5260285.3114920575
0095c81d4,1860646.5690483407
0097a6ed4,2482395.516895759
0098fef9a,1308082.7104258705
009b321ec,5278471.120056566
009cd681e,1771159.7161681745
009f34f86,1830689.5436229915
009f35cd3,1681300.4475531203
009f65109,5258775.895114701
00a19014a,2253600.694964679
00a27e76a,743510.4075057172
